Literal,data1,data2,data3,data4,data5,ES Time elapsed,# ES Hits,DBpedia in first 100,100 or less,Hits
IEEE transactions on microwave theory and techniques,0018-9480,1557-9670,2,1,Tekn - Elektronikk og kybernetikk,2332,271,12.0,100.0,"[u'http://ld.zdb-services.de/resource/2028238-2', u'http://eprints.ecs.soton.ac.uk/id/publication/ext-00189480', u'http://dbpedia.org/resource/IEEE_Transactions_on_Microwave_Theory_and_Techniques', u'http://dbpedia.org/resource/IEEE_Transactions_on_Microwave_Theory_and_Techniques', u'http://rae2001.rkbexplorer.com/id/resource-Journal-ieee_transactions_on_microwave_theory_and_techniques:2000', u'http://rae2001.rkbexplorer.com/id/resource-Journal-ieee_transactions_on_microwave_theory_and_techniques:1998', u'http://www.hero.ac.uk/rae/#Journal-ieee_transactions_on_microwave_theory_and_techniques:1997', u'http://kisti.rkbexplorer.com/id/JOU_00000000000000001489', u'http://kisti.rkbexplorer.com/id/JOU_00000000000000001490', u'http://www.hero.ac.uk/rae/#Journal-ieee_transactions_on_microwave_theory_and_techniques:1996', u'http://rae2001.rkbexplorer.com/id/resource-Journal-ieee_transactions_on_microwave_theory_and_techniques:2000', u'http://rae2001.rkbexplorer.com/id/resource-Journal-ieee_transactions_on_microwave_theory_and_techniques:1997', u'http://rdf.freebase.com/ns/m.0bmkhgl', u'http://dbpedia.org/resource/IEEE_Transactions_on_Microwave_Theory_and_Techniques', u'http://wikidata.dbpedia.org/resource/Q15710002', u'http://lod.hebis.de/resource/04735881', u'http://wikidata.dbpedia.org/resource/Q15710002', u'http://era.rkbexplorer.com/id/ERAID-981', u'http://dbpedia.org/resource/IEEE_Transactions_on_Microwave_Theory_and_Techniques', u'http://www.hero.ac.uk/rae/#Journal-ieee_transactions_on_microwave_theory_and_techniques:1996']"
IEEE Transactions on Mobile Computing,1536-1233,,1,2,Tekn - Nett og nettverksfunksjonalitet,779,156,42.0,100.0,"[u'http://rdf.freebase.com/ns/m.03c2bf_', u'http://dbpedia.org/resource/IEEE_Transactions_on_Mobile_Computing', u'http://ebiquity.umbc.edu/paper/html/id/187/Towards-Distributed-Service-Discovery-in-Pervasive-Computing-Environments', u'http://ebiquity.umbc.edu/paper/html/id/187/Towards-Distributed-Service-Discovery-in-Pervasive-Computing-Environments', u'http://ebiquity.umbc.edu/paper/html/id/187/Towards-Distributed-Service-Discovery-in-Pervasive-Computing-Environments', u'http://ebiquity.umbc.edu/paper/html/id/321/Toward-Distributed-Service-Discovery-in-Pervasive-Computing-Environments', u'http://ebiquity.umbc.edu/paper/html/id/321/Toward-Distributed-Service-Discovery-in-Pervasive-Computing-Environments', u'http://ebiquity.umbc.edu/paper/html/id/321/Toward-Distributed-Service-Discovery-in-Pervasive-Computing-Environments', u'http://pisa.rkbexplorer.com/id/publications/pub-ref-1419639c', u'http://vi.dbpedia.org/resource/B\u1ed9_l\u1ecdc_Bloom', u'http://dbpedia.org/resource/Bloom_filter', u'http://wikidata.dbpedia.org/resource/Q129122', u'http://dbpedia.org/resource/IEEE_Transactions_on_Mobile_Computing', u'http://dbpedia.org/resource/IEEE_Transactions_on_Mobile_Computing', u'http://nl.dbpedia.org/resource/IEEE_Transactions_on_Mobile_Computing', u'http://dbpedia.org/class/yago/IEEETransactionsOnMobileComputing', u'http://era.rkbexplorer.com/id/ERAID-5073', u'http://wikidata.dbpedia.org/resource/Q129122', u'http://dbpedia.org/resource/IEEE_Transactions_on_Mobile_Computing', u'http://dbpedia.org/resource/IEEE_Transactions_on_Mobile_Computing']"
IEEE transactions on nanotechnology,1536-125X,1941-0085,2,1,Tekn - Materialteknologi,285,47,3.0,47.0,"[u'http://eprints.ecs.soton.ac.uk/id/publication/ext-5906aa7ab9b0de41741c77b9c06d0f3c', u'http://eprints.ecs.soton.ac.uk/id/org/ext-5906aa7ab9b0de41741c77b9c06d0f3c', u'http://southampton.rkbexplorer.com/id/journal-60d250b23aa1625929a17ede92749475', u'http://eprints.rkbexplorer.com/id/caltech/journal-60d250b23aa1625929a17ede92749475', u'http://eprints.ecs.soton.ac.uk/id/publication/ext-5906aa7ab9b0de41741c77b9c06d0f3c', u'http://era.rkbexplorer.com/id/ERAID-983', u'http://lod.hebis.de/resource/10558769', u'http://lod.hebis.de/resource/10558819', u'http://eprints.ecs.soton.ac.uk/id/publication/ext-5906aa7ab9b0de41741c77b9c06d0f3c', u'http://eprints.ecs.soton.ac.uk/id/publication/ext-5906aa7ab9b0de41741c77b9c06d0f3c', u'http://eprints.ecs.soton.ac.uk/id/publication/ext-5906aa7ab9b0de41741c77b9c06d0f3c', u'http://southampton.rkbexplorer.com/id/journal-60d250b23aa1625929a17ede92749475', u'http://eprints.rkbexplorer.com/id/ecs-soton/journal-60d250b23aa1625929a17ede92749475', u'http://eprints.ecs.soton.ac.uk/id/publication/ext-5906aa7ab9b0de41741c77b9c06d0f3c', u'http://lobid.org/resource/ZDB2082654-0', u'http://lobid.org/resource/ZDB2082708-8', u'http://eprints.soton.ac.uk/id/publication/ext-5906aa7ab9b0de41741c77b9c06d0f3c', u'http://eprints.soton.ac.uk/id/org/ext-5906aa7ab9b0de41741c77b9c06d0f3c', u'http://lod.hebis.de/resource/10558769', u'http://eprints.ecs.soton.ac.uk/id/publication/ext-5906aa7ab9b0de41741c77b9c06d0f3c']"
IEEE transactions on neural systems and rehabilitation engineering,1534-4320,1558-0210,1,2,Tekn - Generell,4211,79,26.0,79.0,"[u'http://ld.zdb-services.de/resource/2021739-0', u'http://eprints.rkbexplorer.com/id/twente/journal-480ca1e96ccf6f8c0c6ae779ba5651e3', u'http://eprints.rkbexplorer.com/id/kfupm/journal-da1320b2cd7f627b14421cd15c65aef3', u'http://wikidata.dbpedia.org/resource/Q15758805', u'http://era.rkbexplorer.com/id/ERAID-5044', u'http://wikidata.dbpedia.org/resource/Q15758805', u'http://lobid.org/resource/HT013178540', u'http://lobid.org/resource/HT010504855', u'http://lobid.org/resource/HT013526026', u'http://www.wikidata.org/entity/Q15758805', u'http://www.wikidata.org/entity/Q15758805', u'http://eprints.soton.ac.uk/id/publication/ext-15344320', u'http://eprints.ecs.soton.ac.uk/id/publication/ext-09d744261a0ef7001f1ef1418ed6a019', u'http://eprints.soton.ac.uk/id/publication/ext-09d744261a0ef7001f1ef1418ed6a019', u'http://eprints.ecs.soton.ac.uk/id/publication/ext-09d744261a0ef7001f1ef1418ed6a019', u'http://eprints.ecs.soton.ac.uk/id/publication/ext-09d744261a0ef7001f1ef1418ed6a019', u'http://wikidata.dbpedia.org/resource/Q15758805', u'http://lod.hebis.de/resource/04863583', u'http://lod.hebis.de/resource/04863583', u'http://wikidata.dbpedia.org/resource/Q15758805']"
IEEE Transactions on Pattern Analysis and Machine Intelligence,0162-8828,1939-3539,2,1,Tekn - Elektronikk og kybernetikk,2922,411,8.0,100.0,"[u'http://ld.zdb-services.de/resource/2717882-1', u'http://kisti.rkbexplorer.com/id/JOU_00000000000000001536', u'http://kisti.rkbexplorer.com/id/JOU_00000000000000001545', u'http://irit.rkbexplorer.com/id/pub-ref-3c68272d59ab8e5e99b37bf6b8e2abeb', u'http://irit.rkbexplorer.com/id/pub-ref-3c68272d59ab8e5e99b37bf6b8e2abeb', u'http://rae2001.rkbexplorer.com/id/resource-Journal-ieee_transactions_on_pattern_analysis_and_machine_intelligence.:1999', u'http://rae2001.rkbexplorer.com/id/resource-Journal-ieee_transactions_on_pattern_analysis_and_machine_intelligence:2000', u'http://eprints.rkbexplorer.com/id/kfupm/journal-c1c5b355c388413d6b2efbf7855e65a7', u'http://eprints.rkbexplorer.com/id/kfupm/journal-9547fb95b0432ed32661595ad5adfa87', u'http://www.hero.ac.uk/rae/#Journal-ieee_transactions_on_pattern_analysis_and_machine_intelligence:1996', u'http://www.hero.ac.uk/rae/#Journal-ieee_transactions_on_pattern_analysis_and_machine_intelligence:2000', u'http://dbpedia.org/resource/IEEE_Transactions_on_Pattern_Analysis_and_Machine_Intelligence', u'urn:3d394318ae56ca7cde94af83462ecf52', u'urn:3e9ff9364c9a0af273d9dda5c7d033e2', u'http://rae2001.rkbexplorer.com/id/resource-Journal-ieee_transactions_on_pattern_analysis_and_machine_intelligence:1996', u'http://www.hero.ac.uk/rae/#Journal-ieee_transactions_on_pattern_analysis_and_machine_intelligence:2000', u'http://dblp.uni-trier.de/db/journals/pami/pami24.html', u'urn:2584306a377e3caef0b289aee0bf78d5', u'urn:695de09f384364ac185d52f5e3ab6037', u'http://kisti.rkbexplorer.com/id/JOU_00000000000000001531']"
IIC-International Review of Industrial Property and Copyright Law,0018-9855,,1,2,Rettsvitenskap,965,30,0.0,30.0,"[u'http://lobid.org/resource/ZDB521027-6', u'http://lobid.org/resource/HT002364913', u'http://lobid.org/resource/HT002364920', u'http://lobid.org/resource/HT002364918', u'http://lod.hebis.de/resource/06129591', u'http://ld.zdb-services.de/resource/1227876-2', u'http://lobid.org/resource/HT002364922', u'http://lobid.org/resource/HT002364921', u'http://lobid.org/resource/HT002364923', u'http://lobid.org/resource/HT002364917', u'http://lobid.org/resource/HT002364914', u'http://lobid.org/resource/ZDB2082055-0', u'http://lobid.org/resource/HT002364915', u'http://lobid.org/resource/HT002364916', u'http://lobid.org/resource/HT002216422', u'http://lobid.org/resource/HT002364919', u'http://lobid.org/resource/HT002364924', u'http://lobid.org/resource/HT002364921', u'http://lobid.org/resource/HT002364915', u'http://lobid.org/resource/HT002364922']"
Immigration and Asylum Law and Policy in Europe,1568-2749,,2,1,Rettsvitenskap,993,23,0.0,23.0,"[u'http://ld.zdb-services.de/resource/2709136-3', u'http://lodlaundromat.org/.well-known/genid/54f91b48faa3c70c4f13b73d32377450#789524', u'http://lodlaundromat.org/.well-known/genid/54f91b48faa3c70c4f13b73d32377450#789541', u'http://lodlaundromat.org/.well-known/genid/e39f21a27a99c997657b64e99b634b73#1333584', u'http://lodlaundromat.org/.well-known/genid/e39f21a27a99c997657b64e99b634b73#1334999', u'http://lodlaundromat.org/.well-known/genid/e39f21a27a99c997657b64e99b634b73#1332617', u'http://lodlaundromat.org/.well-known/genid/e07b97259c0d22f86b1448c925bf8a1f#24053', u'http://id.loc.gov/authorities/names/n00099321', u'http://lodlaundromat.org/.well-known/genid/e39f21a27a99c997657b64e99b634b73#1331438', u'http://lodlaundromat.org/.well-known/genid/e39f21a27a99c997657b64e99b634b73#1921335', u'http://lodlaundromat.org/.well-known/genid/e07b97259c0d22f86b1448c925bf8a1f#63222', u'http://lobid.org/resource/HT013311696', u'http://ld.zdb-services.de/resource/2095831-6', u'http://lodlaundromat.org/.well-known/genid/54f91b48faa3c70c4f13b73d32377450#1134704', u'http://lodlaundromat.org/.well-known/genid/54f91b48faa3c70c4f13b73d32377450#757564', u'http://lodlaundromat.org/.well-known/genid/e39f21a27a99c997657b64e99b634b73#1333710', u'http://lodlaundromat.org/.well-known/genid/e39f21a27a99c997657b64e99b634b73#1336753', u'http://lodlaundromat.org/.well-known/genid/e07b97259c0d22f86b1448c925bf8a1f#1110872', u'http://lodlaundromat.org/.well-known/genid/e07b97259c0d22f86b1448c925bf8a1f#1803279', u'http://lodlaundromat.org/.well-known/genid/e07b97259c0d22f86b1448c925bf8a1f#1715438']"
Instructional Science,0020-4277,1573-1952,1,2,Pedagogikk og utdanning,817,187,7.0,100.0,"[u'http://ld.zdb-services.de/resource/2015666-2', u'http://eprints.rkbexplorer.com/id/bath/journal-52424fd10133943e9ca14fec91f42efd', u'http://rae2001.rkbexplorer.com/id/resource-Journal-instructional_science:1999', u'http://www.hero.ac.uk/rae/#Journal-instructional_science:1998', u'http://eprints.rkbexplorer.com/id/twente/journal-9277104ecd363ff49f4a7d1b01cb3de6', u'http://eprints.rkbexplorer.com/id/ucl/journal-52424fd10133943e9ca14fec91f42efd', u'http://eprints.rkbexplorer.com/id/kfupm/journal-52424fd10133943e9ca14fec91f42efd', u'http://rae2001.rkbexplorer.com/id/resource-Journal-instructional_science:1998', u'http://rae2001.rkbexplorer.com/id/resource-Journal-instructional_science:1999', u'http://rae2001.rkbexplorer.com/id/resource-Journal-instructional_science:1998', u'http://rae2001.rkbexplorer.com/id/resource-Journal-instructional_science:2000', u'http://wikidata.dbpedia.org/resource/Q15756631', u'http://lod.hebis.de/resource/04596904', u'http://lod.hebis.de/resource/04710417', u'http://wikidata.dbpedia.org/resource/Q15756631', u'http://wikidata.dbpedia.org/resource/Q15756631', u'http://era.rkbexplorer.com/id/ERAID-6302', u'http://www.hero.ac.uk/rae/#Journal-instructional_science:1998', u'http://lobid.org/resource/HT005668080', u'http://lobid.org/resource/HT005992817']"
Intellectual Property Law Library,1871-6725,,2,1,Rettsvitenskap,958,9,0.0,9.0,"[u'http://ld.zdb-services.de/resource/2232745-9', u'http://lod.hebis.de/resource/22723906', u'http://lod.hebis.de/resource/22723906', u'http://lodlaundromat.org/.well-known/genid/971c555b023ea8eeb72703077d59ce81#12950131', u'http://id.loc.gov/authorities/names/n2001084436', u'http://id.loc.gov/authorities/names/n2002090192', u'http://id.loc.gov/authorities/names/n2006002886', u'http://id.loc.gov/authorities/names/no98129265', u'http://id.loc.gov/authorities/names/n2002090192']"
International and comparative corporate law journal,1388-7084,1875-8290,1,2,Rettsvitenskap,755,35,7.0,35.0,"[u'http://ld.zdb-services.de/resource/2015670-4', u'http://rae2001.rkbexplorer.com/id/resource-Journal-international_and_comparative_corporate_law_journal:1999', u'http://www.hero.ac.uk/rae/#Journal-international_and_comparative_corporate_law_journal:1999', u'http://wikidata.dbpedia.org/resource/Q15765194', u'http://era.rkbexplorer.com/id/ERAID-33424', u'http://lobid.org/resource/ZDB1463702-9', u'http://www.wikidata.org/entity/Q15765194', u'http://www.wikidata.org/entity/Q15765194', u'http://www.wikidata.org/entity/Q15765194', u'http://lod.hebis.de/resource/09161285', u'http://ld.zdb-services.de/resource/1463702-9', u'http://www.hero.ac.uk/rae/#Journal-international_and_comparative_corporate_law_journal:2000', u'http://www.hero.ac.uk/rae/#Journal-international_and_comparative_corporate_law_journal:2000', u'http://rae2001.rkbexplorer.com/id/resource-Journal-international_and_comparative_corporate_law_journal:1999', u'http://wikidata.dbpedia.org/resource/Q15765194', u'http://era.rkbexplorer.com/id/ERAID-33424', u'http://www.wikidata.org/entity/Q15765194SBFEBA67A-B57C-4F79-B474-4D14A59C2CBF', u'http://www.wikidata.org/entity/Q15765194', u'http://www.wikidata.org/entity/Q15765194', u'http://www.wikidata.org/entity/Q15765194']"
International and Comparative Criminal Law Series,1873-6629,,2,1,Rettsvitenskap,456,10,0.0,10.0,"[u'http://lodlaundromat.org/.well-known/genid/6e806998498b8d8a49976461795c6f84#903517', u'http://lodlaundromat.org/.well-known/genid/6e806998498b8d8a49976461795c6f84#903533', u'http://lod.hebis.de/resource/28160885', u'http://lodlaundromat.org/.well-known/genid/61b33efa1a022c8e14f6dfe77a899a6d#70722', u'http://lodlaundromat.org/.well-known/genid/61b33efa1a022c8e14f6dfe77a899a6d#536553', u'http://lodlaundromat.org/.well-known/genid/e07b97259c0d22f86b1448c925bf8a1f#332261', u'http://id.loc.gov/authorities/names/no00094890', u'http://ld.zdb-services.de/resource/2638400-0', u'http://lod.hebis.de/resource/28160885', u'http://lodlaundromat.org/.well-known/genid/54f91b48faa3c70c4f13b73d32377450#905151']"
International Journal of Educational Development,0738-0593,1873-4871,1,2,Pedagogikk og utdanning,2422,136,7.0,100.0,"[u'http://ld.zdb-services.de/resource/2018633-2', u'http://rae2001.rkbexplorer.com/id/resource-Journal-international_journal_of_educational_development:2000', u'http://www.hero.ac.uk/rae/#Journal-international_journal_of_educational_development:1995', u'http://www.hero.ac.uk/rae/#Journal-international_journal_of_educational_development:1999', u'http://www.hero.ac.uk/rae/#Journal-international_journal_of_educational_development:1998', u'http://www.hero.ac.uk/rae/#Journal-international_journal_of_educational_development:2000', u'http://rae2001.rkbexplorer.com/id/resource-Journal-international_journal_of_educational_development:1996', u'http://rae2001.rkbexplorer.com/id/resource-Journal-international_journal_of_educational_development:1999', u'http://rae2001.rkbexplorer.com/id/resource-Journal-international_journal_of_educational_development:1995', u'http://wikidata.dbpedia.org/resource/Q15761477', u'http://wikidata.dbpedia.org/resource/Q15761477', u'http://www.hero.ac.uk/rae/#Journal-international_journal_of_educational_development.:2000', u'http://www.hero.ac.uk/rae/#Journal-international_journal_of_educational_development:1998', u'http://lobid.org/resource/HT010608739', u'http://www.hero.ac.uk/rae/#Journal-international_journal_of_educational_development:1998', u'http://lobid.org/resource/HT006008246', u'http://lodlaundromat.org/.well-known/genid/7720b51bac3254865d8daac0aca89e7a#291967', u'http://www.wikidata.org/entity/Q15761477', u'http://www.wikidata.org/entity/Q15761477', u'http://www.wikidata.org/entity/Q15761477']"
International Journal of Fracture,0376-9429,1573-2673,1,2,Tekn - Maskinteknikk,1154,174,32.0,100.0,"[u'http://dbpedia.org/resource/International_Journal_of_Fracture', u'http://www.hero.ac.uk/rae/#Journal-international_journal_of_fracture:1996', u'http://rae2001.rkbexplorer.com/id/resource-Journal-international_journal_of_fracture:2000', u'http://www.ingentaconnect.com/content/klu/frac/2007/00000143/00000001', u'http://rae2001.rkbexplorer.com/id/resource-Journal-international_journal_of_fracture:1998', u'http://www.hero.ac.uk/rae/#Journal-international_journal_of_fracture:1999', u'http://dbpedia.org/resource/International_Journal_of_Fracture', u'http://rae2001.rkbexplorer.com/id/resource-Journal-international__journal_of_fracture:1998', u'http://eprints.rkbexplorer.com/id/kfupm/journal-8de1c78fd359d32031c15c0a3221d1b3', u'http://www.ingentaconnect.com/content/klu/frac/2006/00000141/f0020001', u'http://www.hero.ac.uk/rae/#Journal-international_journal_of_fracture:1996', u'http://www.hero.ac.uk/rae/#Journal-international_journal_of_fracture:2000', u'http://www.ingentaconnect.com/content/klu/frac/2006/00000141/f0020003', u'http://www.hero.ac.uk/rae/#Journal-international__journal_of_fracture:1998', u'http://www.ingentaconnect.com/content/klu/frac/2007/00000144/00000002', u'http://rdf.freebase.com/ns/m.05mw_w2', u'http://rae2001.rkbexplorer.com/id/resource-Journal-international_journal_of_fracture:1999', u'http://rae2001.rkbexplorer.com/id/resource-Journal-international_journal_of_fracture:1996', u'http://dbpedia.org/resource/International_Journal_of_Fracture', u'http://dbpedia.org/resource/International_Journal_of_Fracture']"
International Journal of Human Rights,1364-2987,1744-053X,1,2,Rettsvitenskap,3330,90,30.0,90.0,"[u'http://ld.zdb-services.de/resource/2094966-2', u'http://www.hero.ac.uk/rae/#Journal-international_journal_of_human_rights:1998', u'http://www.hero.ac.uk/rae/#Journal-international_journal_of_human_rights:1999', u'http://rae2001.rkbexplorer.com/id/resource-Journal-international_journal_of_human_rights:2000', u'http://lodlaundromat.org/.well-known/genid/6e806998498b8d8a49976461795c6f84#1257184', u'http://rae2001.rkbexplorer.com/id/resource-Journal-international_journal_of_human_rights:1997', u'http://lobid.org/resource/HT017104091', u'http://www.wikidata.org/entity/Q15757932', u'http://ld.zdb-services.de/resource/1338523-9', u'http://rae2001.rkbexplorer.com/id/resource-Journal-international_journal_of_human_rights:1999', u'http://www.hero.ac.uk/rae/#Journal-international_journal_of_human_rights:1998', u'http://rae2001.rkbexplorer.com/id/resource-Journal-international_journal_of_human_rights:1997', u'http://www.hero.ac.uk/rae/#Journal-international_journal_of_human_rights:1997', u'http://rae2001.rkbexplorer.com/id/resource-Journal-international_journal_of_human_rights:1999', u'http://www.hero.ac.uk/rae/#Journal-international_journal_of_human_rights:2000', u'http://www.hero.ac.uk/rae/#Journal-international_journal_of_human_rights:1998', u'http://wikidata.dbpedia.org/resource/Q15757932', u'http://lobid.org/resource/ZDB1338523-9', u'http://lobid.org/resource/ZDB2094966-2', u'http://lod.hebis.de/resource/10861581']"
